Rank	Name	Computer	Site	Manufacturer	Country	Total Cores	Rmax [TFlop/s]	Rpeak [TFlop/s]	Nmax	Processor	Operating System	OS Family	Accelerator/Co-Processor	Cores per Socket	Processor Generation	Continent
86	Taiwania 2	QCT QuantaGrid D52G-4U/LC, Xeon Gold 6154 18C 3GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2	National Center for High Performance Computing	Quanta Computer / Taiwan Fixed Network / ASUS Cloud	Taiwan	170,352	9,000.00	15,208.23	2,862,720	Xeon Gold 6154 18C 3GHz	CentOS	Linux	NVIDIA Tesla V100 SXM2	18	Xeon Gold (Skylake)	Asia
87	SNL CTS-2 Stout	PowerEdge C6220, Xeon Platinum 8480+ 56C 2GHz, Dual-rail Intel Omni-Path	Sandia National Laboratories	DELL EMC	United States	157,248	8,987.13	10,063.87	6,232,360	Xeon Platinum 8480+ 56C 2GHz	Linux/TOSS	Linux	None	56	Xeon Platinum (Sapphire Rapids)	North America
88	Dragão	Supermicro SYS-4029GP-TVRT, Xeon Gold 6230R 26C 2.1GHz, NVIDIA Tesla V100, Infiniband EDR	Petróleo Brasileiro S.A	EVIDEN	Brazil	188,224	8,983.00	14,006.48	2,913,408	Xeon Gold 6230R 26C 2.1GHz	CentOS Linux 7	Linux	NVIDIA Tesla V100	26	Xeon Gold 62xx (Cascade Lake)	South America
89	Raven-GPU	ThinkSystem SD650-N V2, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100, Mellanox HDR Infiniband	Max-Planck-Gesellschaft MPI/IPP	Lenovo	Germany	96,768	8,620.00	16,031.54	1,959,552	Xeon Platinum 8360Y 36C 2.4GHz	SUSE Linux Enterprise Server 15 SP2	Linux	NVIDIA A100	36	Xeon Platinum 83xx (Ice Lake)	Europe
90	AIRAWAT - PSAI	NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Infiniband HDR	Center for Development of Advanced Computing (C-DAC)	Netweb Technologies	India	81,344	8,500.00	13,169.86	1,597,440	AMD EPYC 7742 64C 2.25GHz	Ubuntu 20.04.2 LTS	Linux	NVIDIA A100	64	AMD Zen-2 (Rome)	Asia
91	AiMOS	IBM Power System AC922, IBM POWER9 20C 3.45GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband	Rensselaer Polytechnic Institute Center for Computational Innovations (CCI)	IBM	United States	130,000	8,339.00	11,032.03	3,809,280	IBM POWER9 20C 3.45GHz	RHEL 7.6	Linux	NVIDIA Volta GV100	20	IBM POWER9	North America
92	Dardel GPU	HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11	KTH - Royal Institute of Technology	HPE	Sweden	52,864	8,259.00	10,207.23	1,911,168	AMD Optimized 3rd Generation EPYC 64C 2GHz	HPE Cray OS	Linux	AMD Instinct MI250X	64	AMD Zen-3 (Milan)	Europe
93	Taranis	Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox InfiniBand HDR100	Meteo France	EVIDEN	France	294,912	8,191.03	10,321.92	7,741,440	AMD EPYC 7742 64C 2.25GHz	bullx SCS	Linux	None	64	AMD Zen-2 (Rome)	Europe
94	LANTA	HPE Cray EX235n, AMD EPYC 7713 64C 2GHz, NVIDIA A100 40GB, Slingshot-11	NSTDA Supercomputer Center (ThaiSC)	HPE	Thailand	87,296	8,146.00	13,773.06	1,891,488	AMD EPYC 7713 64C 2GHz	HPE Cray OS	Linux	NVIDIA Tesla A100 40G	64	AMD Zen-3 (Milan)	Asia
95	TSUBAME3.0	SGI ICE XA, IP139-SXM2, Xeon E5-2680v4 14C 2.4GHz, Intel Omni-Path, NVIDIA Tesla P100 SXM2	GSIC Center, Tokyo Institute of Technology	HPE	Japan	135,828	8,125.00	12,127.07	2,126,208	Xeon E5-2680v4 14C 2.4GHz	SUSE Linux Enterprise Server 12 SP1	Linux	NVIDIA Tesla P100 NVLink	14	Intel Xeon E5 (Broadwell)	Asia
